Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,SekTa,,,,TILASTOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pelaajat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAUSI 2024-2025,III-DIV - LR LOHKO A,,,,PELAAJAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,M,S,P,J,VM,YV,AV,RL-,RL+,SR,TV,H,TM,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Henri Kananen,20,1,4,5,1,0,0,0,0,0,0,0,0,0,0,,,,Henri Kananen,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,Henri Kananen,24,1,5,6,1,0,0,0,0,0,0,0,0,0,0
,Jesse Höykinpuro,14,2,2,4,2,0,0,0,0,0,0,0,0,0,0,,,,Jesse Höykinpuro,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,,,,Jesse Höykinpuro,17,2,5,7,3,0,0,0,0,0,0,0,0,0,0
,Miika Oja-Nisula,18,10,15,25,2,0,1,1,0,0,0,0,0,1,0,,,,Miika Oja-Nisula,3,2,3,5,0,0,1,0,0,0,0,0,0,0,0,,,,Miika Oja-Nisula,21,12,18,30,2,0,2,1,0,0,0,0,0,1,0
,Juha Kiilunen,15,6,3,9,0,2,0,0,0,0,0,0,0,0,0,,,,Juha Kiilunen,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,Juha Kiilunen,19,6,5,11,0,2,0,0,0,0,0,0,0,0,0
,Jimi Laaksonen,20,4,2,6,3,0,0,0,0,0,0,0,0,0,0,,,,Jimi Laaksonen,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,Jimi Laaksonen,24,5,3,8,4,0,0,0,0,0,0,0,0,0,0
,Aleksi Tuokko,19,6,9,15,3,0,0,0,0,0,0,0,0,0,0,,,,Aleksi Tuokko,4,1,2,3,1,0,0,0,0,0,0,0,0,0,0,,,,Aleksi Tuokko,23,7,11,18,4,0,0,0,0,0,0,0,0,0,0
,Joonas Pentti,18,17,4,21,4,2,0,0,0,0,0,0,1,0,0,,,,Joonas Pentti,4,6,3,9,0,1,0,1,0,1,0,0,0,0,0,,,,Joonas Pentti,22,23,7,30,4,3,0,1,0,1,0,0,1,0,0
,,,109,96,205,25,14,1,1,0 / 0,0 / 0,1,1,6,2,0,,,,,,24,20,44,4,3,1,1,0 / 0,1 / 1,0,0,2,0,0,,,,,,133,116,249,29,17,2,2,0 / 0,1 / 1,1,1,8,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KAUSI 2023-2024,IV-DIV - LR LOHKO A,,,,MAALIVAHDIT,,,,,,,,,,,,,,KAUSI 2023-2024,III-DIV - Karsinnat,,,,MAALIVAHDIT,,,,,,,,,,,,,,KAUSI 2023-2024,III-DIV - Karsinnat,,,,MAALIVAHDIT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,O,T%,PMO,T,PM,V,NP,,,,,,,,,,,,,O,T%,PMO,T,PM,V,NP,,,,,,,,,,,,,O,T%,PMO,T,PM,V,NP,,,,,,,,
